Altium Designer Pick and Place Locations
C:\Users\Stason\Desktop\Projects\pure-sinus\hardware\invertor_12V_220V_500W\.\Fabrication Files\Pick Place\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       24.12.25
Time:       11:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                       
C42        "2.2uF 630V"       TopLayer    CAPRR2250W80L2530T1240H1770 165.7500     45.0000      90       ""                                                                                                                                                                                                                                                                
C41        0.1µF              BottomLayer CAP_0805_2012               4.7500       31.7500      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C20        "1nF 1kV"          TopLayer    CAP_RDER73A103K2K1H03B      146.5104     104.7500     90       "Lead Capacitor X7R_EIA_ with Capacitance: 10000pF and Rated Voltage: 1000Vdc"                                                                                                                                                                                    
C19        "1nF 1kV"          TopLayer    CAP_RDER73A103K2K1H03B      131.5104     104.7500     90       "Lead Capacitor X7R_EIA_ with Capacitance: 10000pF and Rated Voltage: 1000Vdc"                                                                                                                                                                                    
C17        "1nF 1kV"          TopLayer    CAP_RDER73A103K2K1H03B      161.5000     104.7500     90       "Lead Capacitor X7R_EIA_ with Capacitance: 10000pF and Rated Voltage: 1000Vdc"                                                                                                                                                                                    
C16        "1nF 1kV"          TopLayer    CAP_RDER73A103K2K1H03B      176.7500     104.7500     270      "Lead Capacitor X7R_EIA_ with Capacitance: 10000pF and Rated Voltage: 1000Vdc"                                                                                                                                                                                    
C15        "10uF 25V"         TopLayer    CAPRB500W50L550T350H600     127.7500     50.7292      0        "10 AµF A±10% 25V Ceramic Capacitor X7R Radial"                                                                                                                                                                                                                   
C12        "10uF 25V"         TopLayer    CAPRB500W50L550T350H600     127.7500     46.5000      0        "10 AµF A±10% 25V Ceramic Capacitor X7R Radial"                                                                                                                                                                                                                   
U11        ACS758             TopLayer    XDCR_ACS758                 35.2500      30.1250      180      "Current Sensor 150A 1 Channel Hall Effect, Open Loop Unidirectional 5-CB Formed Leads, PFF"                                                                                                                                                                      
J8         "On/Off Switch"    TopLayer    JST_B2B-XH-A(LF)(SN)        37.4907      103.6250     0        "Connector Header Through Hole 2 position 0.098 (2.50mm)"                                                                                                                                                                                                         
D5         HER207G            TopLayer    DIOAD1300W80L670D310        73.1000      85.3000      270      "75ns, 2A, 800V, High Efficient Recovery Rectifier"                                                                                                                                                                                                               
D4         HER207G            TopLayer    DIOAD1300W80L670D310        69.0000      85.3000      90       "75ns, 2A, 800V, High Efficient Recovery Rectifier"                                                                                                                                                                                                               
D3         HER207G            TopLayer    DIOAD1300W80L670D310        64.7500      85.2500      270      "75ns, 2A, 800V, High Efficient Recovery Rectifier"                                                                                                                                                                                                               
D2         HER207G            TopLayer    DIOAD1300W80L670D310        77.1000      85.3000      90       "75ns, 2A, 800V, High Efficient Recovery Rectifier"                                                                                                                                                                                                               
M1         "TL494 PWM Module" TopLayer    TL494-PWM-MODULE            53.7500      53.4400      180      "TL494 16KHz-60KHz adjustable frequency, duty. With voltage and currenct control inverter pre-driver module"                                                                                                                                                      
VR1        10k                TopLayer    TRIM_3296W-1-502            147.3000     21.1000      180      "NON-RoHS, 3/8 Sq, Thru-Hole, TRIMMER, 5 Kohms, Cermet, 25 Turns, Pwr-Rtg 0.5W | Bourns 3296W-1-502"                                                                                                                                                              
U2         LM7812CT           TopLayer    TO254P1054X470X1955-3       57.7500      105.5000     0        "1.5-A, 30-V, linear voltage regulator"                                                                                                                                                                                                                           
U10        ACS712ELCTR30AT    BottomLayer SOIC127P600X175-8N          9.0000       62.0000      0        "Current Sensor 30A 1 Channel Hall Effect, Open Loop Bidirectional 8-SOIC (0.154, 3.90mm Width)"                                                                                                                                                                  
U9         TLC2272QDR         BottomLayer SOIC127P599X175-8N          35.0400      33.7500      270      "Dual, Low-Noise, Rail-To-Rail Operational Amplifier 8-SOIC -40 to 125"                                                                                                                                                                                           
U8         CD74HC14E          TopLayer    DIP794W45P254L1969H508Q14   185.6700     26.9700      90       "6-ch, 2-V to 6-V inverters with Schmitt-Trigger inputs"                                                                                                                                                                                                          
U7         "Arduino Nano"     TopLayer    MODULE_ARDUINO_NANO_A000005 27.6300      78.0000      180      "ATSAMD21G18A Arduino Nano 33 IoT series ARMA® CortexA®-M0+ MCU 32-Bit Embedded Evaluation Board"                                                                                                                                                                 
U6         "Buzzer small"     TopLayer    My_Buzzer                   18.5000      110.7500     270      "5-12v small buzzer (12mm)"                                                                                                                                                                                                                                       
U5         "LM35DZ TO-92"     TopLayer    TO92127P521H735-3           122.7500     17.7250      0        "TEMP SENSOR, A± 0.4A°C; IC Output Type:Voltage; Sensing Accuracy Range:A± 0.4A°C; Sensing Temperature Min:+2A°C; Sensing Temperature Max:+100A°C; Sensor Case Style:TO-92; No. of Pins:3Pins; Supply Voltage Min:4V; Supply Voltage Max:30V; Product Range:LM35" 
U4         "LM35DZ TO-92"     TopLayer    TO92127P521H735-3           104.7500     107.2750     180      "TEMP SENSOR, A± 0.4A°C; IC Output Type:Voltage; Sensing Accuracy Range:A± 0.4A°C; Sensing Temperature Min:+2A°C; Sensing Temperature Max:+100A°C; Sensor Case Style:TO-92; No. of Pins:3Pins; Supply Voltage Min:4V; Supply Voltage Max:30V; Product Range:LM35" 
U1         TL431ILPG          TopLayer    TO92127P520H660-3           112.0000     43.0000      180      "Pwr Sply Func, Voltage Reference, Shunt, TO-92, VS 36V, IS 1 to 100mA, PD 0.7W | ON Semiconductor TL431ILPG"                                                                                                                                                     
T1         EC42/EE42          TopLayer    EC42/EE42                   86.0000      50.0000      90       "Dual 12V To 0-220V-380V 18V 800W EC42-20 Horizontal. 43x43x15mm (L*W*H). 15KHz-50KHz"                                                                                                                                                                            
SH2        "20 mOhms"         TopLayer    WIRE-SHUNT                  137.2500     81.2500      0        "Constantan resistance sampling resistor 20mR. 1 mm dia, 10 mm leg"                                                                                                                                                                                               
